Concelho,TOTAIS Absolutos,TOTAIS Percentagem,TOTAIS A Governos PS,TOTAIS P Governos PS,TOTAIS A Governos PSD,TOTAIS P Governos PS
Abrantes,4,0.7,2,0.8,1,0.4
Águeda,3,0.6,3,1.2,0,0
Aguiar da Beira,2,0.4,0,0,2,0.8
Alcobaça,2,0.4,2,0.8,0,0
Alijó,5,0.9,5,2,0,0
Almada,2,0.4,1,0.4,1,0.4
Almeida,1,0.2,1,0.4,0,0
Alpiarça,3,0.6,3,1.2,2,0.8
Alvaiázere,2,0.4,0,0,2,0.8
Amadora,3,0.6,0,0,3,1.1
Anadia,1,0.2,0,0,1,0.4
Angola,21,3.9,11,4.4,10,3.8
Angra do Heroísmo,3,0.6,0,0,2,0.8
Arcos de Valdevez,1,0.2,1,0.4,0,0
Aveiro,1,0.2,1,0.4,0,0
Avis,1,0.2,1,0.4,1,0.4
Baião,1,0.2,1,0.4,0,0
Barcelos,2,0.4,0,0,2,0.8
Barreiro,3,0.6,3,1.2,0,0
Beja,4,0.7,1,0.4,3,1.1
Braga,5,0.9,1,0.4,4,1.5
Cabo Verde,1,0.2,1,0.4,0,0
Caminha,1,0.2,1,0.4,0,0
Cantanhede,1,0.2,1,0.4,0,0
Cascais,2,0.4,1,0.4,1,0.4
Castelo Branco,4,0.7,1,0.4,1,0.4
Chamusca,1,0.2,1,0.4,0,0
Chaves,1,0.2,1,0.4,1,0.4
Coimbra,27,5,14,5.6,13,5
Covilhã,5,0.9,0,0,5,1.9
Desconhecido,23,4.3,5,2,8,3.1
Espinho,1,0.2,0,0,1,0.4
Esposende,5,0.9,0,0,5,1.9
Estarreja,2,0.4,0,0,2,0.8
Estremoz,1,0.2,0,0,1,0.4
Évora,1,0.2,1,0.4,0,0
Ferreira do Alentejo,1,0.2,0,0,1,0.4
Figueira da Foz,2,0.4,0,0,2,0.8
Fundão,1,0.2,0,0,0,0
Golegã,2,0.4,1,0.4,0,0
Gondomar,3,0.6,0,0,2,0.8
Guarda,2,0.4,2,0.8,1,0.4
Guimarães,4,0.7,2,0.8,2,0.8
Guiné-Bissau,4,0.7,3,1.2,1,0.4
Idanha-a-Nova,2,0.4,2,0.8,0,0
Ílhavo,3,0.6,0,0,3,1.1
Índia,3,0.6,2,0.8,0,0
Lamego,2,0.4,0,0,2,0.8
Leiria,9,1.7,0,0,7,2.7
Lisboa,174,32.5,80,31.7,89,34
Loulé,4,0.7,0,0,4,1.5
Loures,1,0.2,0,0,1,0.4
Lourinhã,2,0.4,2,0.8,0,0
Maia,3,0.6,3,1.2,0,0
Mangualde,1,0.2,0,0,1,0.4
Marinha Grande,4,0.7,3,1.2,1,0.4
Matosinhos,10,1.9,2,0.8,8,3.1
Miranda do Douro,2,0.4,2,0.8,0,0
Mirandela,1,0.2,0,0,1,0.4
Moçambique,3,0.6,3,1.2,0,0
Montalegre,1,0.2,0,0,1,0.4
Montemor-o-Novo,3,0.6,3,1.2,0,0
Montijo,1,0.2,1,0.4,0,0
Murtosa,2,0.4,0,0,0,0
Nazaré,2,0.4,0,0,2,0.8
Oeiras,5,0.9,2,0.8,2,0.8
Olhão,2,0.4,2,0.8,0,0
Oliveira do Hospital,1,0.2,1,0.4,0,0
Ourém,1,0.2,0,0,0,0
Paredes de Coura,2,0.4,2,0.8,0,0
Penamacor,1,0.2,1,0.4,0,0
Penedono,1,0.2,0,0,1,0.4
Penela,1,0.2,1,0.4,0,0
Pombal,4,0.7,3,1.2,2,0.8
Ponta Delgada,7,1.3,7,2.8,1,0.4
Ponte de Sor,1,0.2,1,0.4,0,0
Portalegre,3,0.6,3,1.2,0,0
Porto,28,5.2,15,6,12,4.6
Porto de Mós,3,0.6,3,1.2,0,0
Póvoa de Santa Iria,1,0.2,0,0,0,0
Póvoa de Varzim,6,1.1,1,0.4,5,1.9
Sabrosa,4,0.7,2,0.8,0,0
Santarém,1,0.2,0,0,1,0.4
Santo Tirso,5,0.9,0,0,5,1.9
São João da Madeira,9,1.7,3,1.2,5,1.9
São João da Pesqueira,1,0.2,1,0.4,1,0.4
Seia,6,1.1,6,2.4,1,0.4
Seixal,3,0.6,0,0,3,1.1
Sesimbra,2,0.4,2,0.8,1,0.4
Setúbal,5,0.9,3,1.2,5,1.9
Sintra,3,0.6,2,0.8,0,0
Tábua,7,1.3,1,0.4,6,2.3
Tomar,1,0.2,0,0,1,0.4
Tondela,1,0.2,0,0,1,0.4
Torres Novas,2,0.4,2,0.8,0,0
Viana do Castelo,1,0.2,1,0.4,0,0
Vila do Conde,2,0.4,2,0.8,0,0
Vila Franca de Xira,1,0.2,0,0,0,0
Vila Nova de Famalicão,4,0.7,1,0.4,3,1.1
Vila Nova de Gaia,1,0.2,0,0,1,0.4
Vila Verde,1,0.2,0,0,1,0.4
Vinhais,2,0.4,2,0.8,0,0
Viseu,10,1.9,7,2.8,3,1.1
Total,536,,,,,
