Distrito,TOTAIS Absolutos,TOTAIS Percentagem,TOTAIS A Governos PS,TOTAIS P Governos PS,TOTAIS A Governos PSD,TOTAIS P Governos PS
Açores,10,1.9,7,2.8,3,1.1
Angola,21,3.9,11,4.4,10,3.8
Aveiro,22,4.1,7,2.8,12,4.6
Beja,5,0.9,1,0.4,4,1.5
Braga,21,3.9,4,1.6,17,6.5
Bragança,5,0.9,4,1.6,1,0.4
Cabo Verde,1,0.2,1,0.4,0,0
Castelo Branco,13,2.4,4,1.6,6,2.3
Coimbra,39,7.3,18,7.1,21,8
Desconhecido,23,4.3,5,2,8,3.1
Évora,5,0.9,4,1.6,1,0.4
Faro,6,1.1,2,0.8,4,1.5
Guarda,11,2.1,9,3.6,4,1.5
Guiné-Bissau,4,0.7,3,1.2,1,0.4
Índia,3,0.6,2,0.8,0,0
Leiria,26,4.9,11,4.4,14,5.3
Lisboa,191,35.6,87,34.5,96,36.6
Moçambique,3,0.6,3,1.2,0,0
Portalegre,5,0.9,5,2,1,0.4
Porto,59,11,24,9.5,33,12.6
Santarém,15,2.8,9,3.6,5,1.9
Setúbal,16,3,10,4,10,3.8
Viana do Castelo,5,0.9,5,2,0,0
Vila Real,11,2.1,8,3.2,2,0.8
Viseu,16,3,8,3.2,9,3.4
Total,536,,,,,
